INCIDENT_YEAR,SHARK_COMMON_NAME,SHARK_SCIENTIFIC_NAME,INCIDENT_COUNT,,,,,,,,
1984,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1985,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1986,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1987,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1988,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
1989,Tiger Shark,Galeocerdo cuvier ,6,,,,,,,,
1990,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1991,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1992,Tiger Shark,Galeocerdo cuvier ,4,,,,,,,,
1993,Tiger Shark,Galeocerdo cuvier ,4,,,,,,,,
1994,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1995,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
1996,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1997,Tiger Shark,Galeocerdo cuvier ,4,,,,,,,,
1998,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
1999,Tiger Shark,Galeocerdo cuvier ,3,,,,,,,,
2000,Tiger Shark,Galeocerdo cuvier ,11,,,,,,,,
2001,Tiger Shark,Galeocerdo cuvier ,5,,,,,,,,
2002,Tiger Shark,Galeocerdo cuvier ,2,,,,,,,,
2003,Tiger Shark,Galeocerdo cuvier ,1,,,,,,,,
2004,Tiger Shark,Galeocerdo cuvier ,8,,,,,,,,
2005,Tiger Shark,Galeocerdo cuvier ,9,,,,,,,,
2006,Tiger Shark,Galeocerdo cuvier ,4,,,,,,,,
2007,Tiger Shark,Galeocerdo cuvier ,8,,,,,,,,
2008,Tiger Shark,Galeocerdo cuvier ,7,,,,,,,,
2009,Tiger Shark,Galeocerdo cuvier ,15,,,,,,,,
2010,Tiger Shark,Galeocerdo cuvier ,9,,,,,,,,
2011,Tiger Shark,Galeocerdo cuvier ,7,,,,,,,,
2012,Tiger Shark,Galeocerdo cuvier ,13,,,,,,,,
2013,Tiger Shark,Galeocerdo cuvier ,5,,,,,,,,
2014,Tiger Shark,Galeocerdo cuvier ,11,,,,,,,,
2015,Tiger Shark,Galeocerdo cuvier ,19,,,,,,,,
2016,Tiger Shark,Galeocerdo cuvier ,16,,,,,,,,
2017,Tiger Shark,Galeocerdo cuvier ,8,,,,,,,,
2018,Tiger Shark,Galeocerdo cuvier ,8,,,,,,,,
2019,Tiger Shark,Galeocerdo cuvier ,5,,,,,,,,
2020,Tiger Shark,Galeocerdo cuvier ,13,,,,,,,,
2021,Tiger Shark,Galeocerdo cuvier ,6,,,,,,,,
2022,Tiger Shark,Galeocerdo cuvier ,7,,,,,,,,
2023,Tiger Shark,Galeocerdo cuvier ,5,,,,,,,,
2024,Tiger Shark,Galeocerdo cuvier ,0,,,,,,,,
1791,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1792,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1793,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1794,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1795,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1796,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1797,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1798,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1799,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1800,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1801,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1802,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1803,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1804,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1805,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1806,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1807,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1808,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1809,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1810,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1811,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1812,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1813,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1814,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1815,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1816,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1817,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1818,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1819,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1820,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1821,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1822,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1823,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1824,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1825,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1826,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1827,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1828,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1829,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1830,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1831,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1832,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1833,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1834,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1835,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1836,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1837,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1838,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1839,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1840,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1841,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1842,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1843,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1844,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1845,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1846,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1847,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1848,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1849,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1850,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1851,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1852,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1853,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1854,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1855,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1856,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1857,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1858,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1859,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1860,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1861,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1862,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1863,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1864,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1865,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1866,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1867,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1868,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1869,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1870,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1871,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1872,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1873,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1874,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1875,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1876,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1877,Great White Shark,Carcharodon carcharias ,3,,,,,,,,
1878,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1879,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1880,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1881,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1882,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1883,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1884,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1885,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1886,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1887,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1888,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1889,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1890,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1891,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1892,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1893,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1894,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1895,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1896,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1897,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1898,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
